ID,Description,Is Active,Creation Date,Mod If Date,Delete Date,Example,Topic Category ID,Creation User ID,Guide,Mod If User ID,Category ID,Delete User ID,Ilg ID,Is Deleted,Sdg ID,Proposal ID,Sa Sb Industry ID,Is Core
12,"<p><span style=""font-size: 12pt; font-family: Arial;"" data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;The topic addresses environmental impacts associated with energy consumption. It addresses the company&rsquo;s management of energy in manufacturing and/or for provision of products and services derived from utility providers (grid energy) not owned or controlled by the company. More specifically, it includes management of energy efficiency and intensity, energy mix, as well as grid reliance. Upstream (e.g., suppliers) and downstream (e.g., product use) energy use is not included in the scope.\n\nThe topic does not include the energy efficient products of a company. This topic is covered under \&quot;Energy Efficient Solutions\&quot;.\n\nFind out how to treat this topic in this how-to guide.&quot;}"" data-sheets-userformat=""{&quot;2&quot;:1063809,&quot;3&quot;:{&quot;1&quot;:0},&quot;10&quot;:1,&quot;11&quot;:4,&quot;12&quot;:0,&quot;14&quot;:[null,2,0],&quot;15&quot;:&quot;Arial&quot;,&quot;16&quot;:12,&quot;23&quot;:1}"">The topic addresses environmental impacts associated with energy consumption. It addresses the company&rsquo;s management of energy in manufacturing and/or for the provision of products and services derived from utility providers (grid energy) not owned or controlled by the company. More specifically, it includes management of energy efficiency and intensity, energy mix, as well as grid reliance. Upstream (e.g., suppliers) and downstream (e.g., product use) energy use is not included in the scope.<br /><br />The topic does not include the energy-efficient products of a company. This topic is covered under ""Energy Efficient Solutions"".<br /><br />Find out how to treat this topic in this <a href=""https://www.impaakt.com/how-to-guides/operational-energy-consumption"" target=""_blank"" rel=""noopener"">how-to guide</a>.</span></p>",0,,2021-10-28T12:30:35+02:00,,https://app.impaakt.com/analyses/24170,10,1,www.impaakt.com/knowledge-centre/operational-energy-consumption,8355.0,,,,False,,,51,False
13,"Customer preferences and regulatory drivers are increasing the demand for energy-efficient and reduced-emissions products in the Aerospace & Defense industry. Many of the industry’s products are powered by fossil fuels and release greenhouse gases (GHGs) and other air emissions during use. As the designers and manufacturers of most of the global aerospace and defense transportation fleet, companies in this industry have a unique opportunity to support many industries and government agencies that are striving to meet GHG emissions and fuel-management goals and imperatives. Products with higher fuel economy and lower use-phase emissions may be well positioned to capture expanding market share and adapt to changing customer preferences and regulations around fuel economy and emissions.",0,,,,,11,1,,,,,,False,,,51,False
14,"<p>The topic addresses environmental issues associated with hazardous and non-hazardous waste generated by the operations of companies. It covers treatment, handling, storage, disposal, and regulatory compliance. The impact of the company does not only lie in the absolute amount of waste produced and the types of waste but more critically, the amount of waste that is not recycled.</p>
<p>To include:</p>
<ul>
<li>The total amount of waste produced in the operation phase</li>
<li>How much is hazardous and non-hazardous, what type of waste</li>
<li>Amount of waste ending up in landfills or unsustainable disposed of</li>
<li>What environmental impacts this has on the environment (soil and water)</li>
<li>Waste reduction initiatives if any</li>
</ul>
<p>Not to include:</p>
<ul>
<li>Product End-of-Life Waste</li>
</ul>",1,,2022-12-08T11:26:19+01:00,,https://app.impaakt.com/analyses/walmart-de-mexico-y-centroamerica-generated-574812t-of-waste-in-2021-diverting-69-from-landfill-125999,12,1,www.impaakt.com/how-to-guides/operational-waste-production,6139.0,2.0,,4.0,False,29.0,,51,False
15,"Aerospace and defense companies are exposed to supply chain risks when critical materials are used in products. Companies in the industry manufacture products using critical materials with few or no available substitutes, many of which are sourced from deposits concentrated in only a few countries which are subject to geopolitical uncertainty. Companies in this industry also face competition due to increasing global demand for these materials from other sectors, which can result in price increases and supply risks. Companies that are able to limit the use of critical materials through use of alternatives, as well as secure their supply, can mitigate the potential for financial impacts stemming from supply disruptions and volatile input prices.",0,,,,,13,1,,,,,,False,,,51,False
16,"Aerospace and defense companies are exposed to supply chain risks when critical materials are used in products. Companies in the industry manufacture products using critical materials with few or no available substitutes, many of which are sourced from deposits concentrated in only a few countries which are subject to geopolitical uncertainty. Companies in this industry also face competition due to increasing global demand for these materials from other sectors, which can result in price increases and supply risks. Companies that are able to limit the use of critical materials through use of alternatives, as well as secure their supply, can mitigate the potential for financial impacts stemming from supply disruptions and volatile input prices.",0,,,,,14,1,,,,,,False,,,51,False
17,"Aerospace and defense companies are exposed to supply chain risks when critical materials are used in products. Companies in the industry manufacture products using critical materials with few or no available substitutes, many of which are sourced from deposits concentrated in only a few countries which are subject to geopolitical uncertainty. Companies in this industry also face competition due to increasing global demand for these materials from other sectors, which can result in price increases and supply risks. Companies that are able to limit the use of critical materials through use of alternatives, as well as secure their supply, can mitigate the potential for financial impacts stemming from supply disruptions and volatile input prices.",0,,,,,15,1,,,,,,False,,,51,False
18,"Aerospace and defense companies are exposed to supply chain risks when critical materials are used in products. Companies in the industry manufacture products using critical materials with few or no available substitutes, many of which are sourced from deposits concentrated in only a few countries which are subject to geopolitical uncertainty. Companies in this industry also face competition due to increasing global demand for these materials from other sectors, which can result in price increases and supply risks. Companies that are able to limit the use of critical materials through use of alternatives, as well as secure their supply, can mitigate the potential for financial impacts stemming from supply disruptions and volatile input prices.",0,,,,,16,1,,,,,,False,,,51,False
19,"Aerospace and defense companies are exposed to supply chain risks when critical materials are used in products. Companies in the industry manufacture products using critical materials with few or no available substitutes, many of which are sourced from deposits concentrated in only a few countries which are subject to geopolitical uncertainty. Companies in this industry also face competition due to increasing global demand for these materials from other sectors, which can result in price increases and supply risks. Companies that are able to limit the use of critical materials through use of alternatives, as well as secure their supply, can mitigate the potential for financial impacts stemming from supply disruptions and volatile input prices.",0,,,,,17,1,,,,,,False,,,51,False
22,"Product safety is an important consideration for aerospace and defense companies given the industry’s key role in commercial aviation and military operations. Product safety incidents could result in financial impacts, including increased costs, regulatory penalties, or brand-value impacts that could adversely affect market share. Additionally, counterfeit components have been found in the aerospace and defense supply chain, increasing the risk of safety incidents due to low product quality. Through product design, supplier vetting, and ongoing customer engagement involving maintenance and accident investigations, companies in this industry can ensure the safety of their products over the long term, mitigating potential financial consequences such as revenue loss due to repeated safety incidents or recalls.",0,,,,,18,1,,,,,,False,,,51,False
24,"<p><span style=""font-size: 12pt; font-family: Arial;"" data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;The topic addresses environmental impacts associated with energy consumption. It addresses the company&rsquo;s management of energy in manufacturing and/or for provision of products and services derived from utility providers (grid energy) not owned or controlled by the company. More specifically, it includes management of energy efficiency and intensity, energy mix, as well as grid reliance. Upstream (e.g., suppliers) and downstream (e.g., product use) energy use is not included in the scope.\n\nThe topic does not include the energy efficient products of a company. This topic is covered under \&quot;Energy Efficient Solutions\&quot;.\n\nFind out how to treat this topic in this how-to guide.&quot;}"" data-sheets-userformat=""{&quot;2&quot;:1063809,&quot;3&quot;:{&quot;1&quot;:0},&quot;10&quot;:1,&quot;11&quot;:4,&quot;12&quot;:0,&quot;14&quot;:[null,2,0],&quot;15&quot;:&quot;Arial&quot;,&quot;16&quot;:12,&quot;23&quot;:1}"">The topic addresses environmental impacts associated with energy consumption. It addresses the company&rsquo;s management of energy in manufacturing and/or for the provision of products and services derived from utility providers (grid energy) not owned or controlled by the company. More specifically, it includes management of energy efficiency and intensity, energy mix, as well as grid reliance. Upstream (e.g., suppliers) and downstream (e.g., product use) energy use is not included in the scope.<br /><br />The topic does not include the energy-efficient products of a company. This topic is covered under ""Energy Efficient Solutions"".<br /><br />Find out how to treat this topic in this <a href=""https://www.impaakt.com/how-to-guides/operational-energy-consumption"" target=""_blank"" rel=""noopener"">how-to guide</a>.</span></p>",0,,2021-10-28T12:30:35+02:00,,https://app.impaakt.com/analyses/24170,10,1,www.impaakt.com/knowledge-centre/operational-energy-consumption,8355.0,,,,False,,,35,False
25,"Agricultural products companies source agricultural inputs from a large number of suppliers. How companies in the industry screen, monitor, and engage with suppliers on environmental and social topics may impact consumer demand, reputational risks, and the ability of companies to effectively manage their crop supply and respond to price fluctuations. Supply chain management issues related to labor, environmental practices, ethics, or corruption may result in regulatory fines and/or increased long-term operational costs for companies. Similarly, agricultural products companies may face reputational damage if their suppliers perform poorly on environmental or social issues. Companies can mitigate these risks and potentially increase consumer demand or capture new market opportunities by engaging with key suppliers to implement sustainable agricultural practices or source from certified suppliers.",0,,,,,19,1,,,,,,False,,,35,False
27,"<p><span style=""font-family: Arial; font-size: 16px;"">The topic addresses issues involving unintended characteristics of products sold or services provided that may create health or safety risks to end-users. It addresses a company&rsquo;s ability to offer manufactured products and/or services that meet customer expectations with respect to their health and safety characteristics. It includes, but is not limited to, recalls and market withdrawals, malfunctions that cause accidents, and chemicals/content/ingredient management in products.</span><br style=""font-family: Arial; font-size: 16px;"" /><br style=""font-family: Arial; font-size: 16px;"" /><span style=""font-family: Arial; font-size: 16px;"">Find out how to treat this topic in this&nbsp;</span><a style=""font-family: Arial; font-size: 16px;"" href=""https://www.impaakt.com/how-to-guides/product-safety"" target=""_blank"" rel=""noopener"">how-to guide</a><span style=""font-family: Arial; font-size: 16px;"">.</span></p>",0,,2021-11-01T13:48:24+01:00,,https://app.impaakt.com/analyses/9890/polaris-failed-to-report-manufacturing-defects-in-vehicles-that-caused-burn-incidents-and-fatalities,20,1,www.impaakt.com/knowledge-centre/product-safety,8355.0,,,,False,,,35,False
28,"Agricultural products developed using genetically modified organism (GMO) technology have gained increasing consumer interest. While GMO technology has, in many cases, enabled improvements in crop yield through development of disease or drought resistant traits in plants, there is increasing consumer concern on the perceived health, environmental, and/or social impacts related to the cultivation and consumption of GMOs. Certain countries and geographic regions have also enacted regulations that ban the usage or cultivation of GMOs. Food and beverage companies along the food supply chain, including companies in this industry, are seeking effective means to assess GMO-related risks and opportunities, and communicate with consumers on the topic. Agricultural products companies that are able to meet changing consumer trends and regulatory changes through their product mix or effective communications may reduce potential reputational risks and revenue loss as well as capture new market share opportunities.",0,,,,,21,1,,,,,,False,,,35,False
29,"<p>The topic addresses the company's greenhouse gas (GHG) emissions through its operations.</p>
<p>To include:</p>
<ul>
<li>Please tailor the introduction to the industry being assessed.</li>
<li>Scope 1, 2, and 3</li>
<li>If a company is under-reporting its Scope 3, use a proxy or competitor information to calculate the more accurate totality.</li>
<li>If available, the efforts made to transition to renewable energy, either distributed, generated, and/or stored expressed in GWh.
<ul>
<li>Not to include investments/green bonds.</li>
</ul>
</li>
<li>The total operational energy consumption and the % of renewable energy consumed.</li>
</ul>
<p>Reporting includes direct (Scope 1) GHG emissions from stationary (e.g., factories, power plants) and mobile sources (e.g., trucks, delivery vehicles, planes), whether a result of the combustion of fuel or non-combusted direct releases during activities such as natural resource extraction, power generation, land use, or biogenic processes.</p>
<p>The topic also addresses indirect (Scope 2 and Scope 3) GHG emissions that a company generates through purchasing electricity, heat, or steam, and all of the emissions not included in Scope 1 or 2. This includes emissions from purchased goods and services, business travel, employee commuting, waste disposal, use of sold products, transportation and distribution (up and downstream), investments, leased assets, franchises, etc.</p>
<p>The seven GHGs covered under the Kyoto Protocol are included within the topic: carbon dioxide (CO2), methane (CH4), nitrous oxide (N2O), hydrofluorocarbons (HFCs), perfluorocarbons (PFCs), sulfur hexafluoride (SF6), and nitrogen trifluoride (NF3).</p>",1,,2022-09-14T20:26:40+02:00,,https://app.impaakt.com/analyses/amazon-reported-its-scope-1-2-and-3-emissions-to-be-over-71-million-tco2e-in-2021-11453,22,1,www.impaakt.com/knowledge-centre/greenhouse-gas-emissions,6139.0,2.0,,6.0,False,30.0,,35,False
30,"Agricultural products companies source a wide variety of commodities and ingredients from farmers and/or intermediary distributors. The industry’s ability to reliably source ingredients at desired price points fluctuates with crop yield, which may be affected by climate change, water scarcity, land management, and other resource scarcity considerations. Companies that source more productive and less resource-intensive crops, or those that work closely with suppliers to increase their adaptability to climate change and other resource scarcity risks, will be better protected from volatility in crop prices and from disruptions in crop supplies. Additionally, companies may improve their brand reputation and develop new market opportunities. Failure to effectively manage sourcing risks can lead to higher costs of capital, reduced margins, and constrained revenue growth.",0,,,,,23,1,,,,,,False,,,35,False
31,"<p>The Agricultural Products industry relies on water for processing activities, and companies in the industry also typically generate wastewater or effluents.</p>
<p>More specifically, the topic also addresses the management of wastewater treatments and discharge, including groundwater and aquifer pollution. Reducing water contamination through recycling and other water management strategies may result in minimized impacts on the environment.</p>
<p>To discuss:</p>
<ul>
<li>How much pollution is caused by runoff, chemicals, sludge, etc. (includes the impact of the products &amp; processes)</li>
<li>How it is the products that are polluting water bodies</li>
<li>How much water is left untreated (concentration to be calculated only for untreated volume of wastewater)</li>
<li>The total volume of pollutant concentration (BOD, COD, Nitrogen, Phosphorus, and others) in mg/L</li>
<li>By how much does it surpass safety/permissible limits (must be above safety limits to be publishable) expressed in the number of times above (i.e., 2.5x)</li>
<li>Where does the pollution take place, and for how long</li>
<li>The environmental impacts (including water and soil), include habitat destruction, ecosystem degradation, harm to marine life</li>
</ul>
<p>Not to discuss:</p>
<ul>
<li>Operational Water Consumption</li>
<li>Social impacts of water pollution</li>
</ul>",1,,2023-01-05T10:54:49+01:00,,https://app.impaakt.com/analyses/in-2021-tongweis-wastewater-cod-bod-f-nh3-n-cn-concentrations-exceeded-the-who-safe-limits-121925,154,1,https://www.impaakt.com/knowledge-centre/water-pollution,6139.0,1.0,,5.0,False,31.0,,35,False
32,"<p style=""box-sizing: inherit; border: 0 solid var(--black); margin: 0px 0px 1.5rem; color: #3c4b5f; line-height: 1.5; font-family: Nunito, system-ui, system-ui, -apple-system, sans-serif; background-color: #ffffff;""><br class=""Apple-interchange-newline"" />The topic addresses a company&rsquo;s water use, water consumption, and other impacts of operations on water resources, which may be influenced by regional differences in the availability and quality of and competition for water resources.</p>
<p style=""box-sizing: inherit; border: 0 solid var(--black); margin: 0px 0px 1.5rem; color: #3c4b5f; line-height: 1.5; font-family: Nunito, system-ui, system-ui, -apple-system, sans-serif; background-color: #ffffff;"">More specifically, it addresses strategies including, but not limited to, water efficiency, intensity, and recycling. The topic must assess whether water withdrawal came from regions suffering from water stress, and whether or not the company recycles/reuses the water withdrawn.</p>
<p style=""box-sizing: inherit; border: 0 solid var(--black); margin: 0px 0px 1.5rem; color: #3c4b5f; line-height: 1.5; font-family: Nunito, system-ui, system-ui, -apple-system, sans-serif; background-color: #ffffff;"">To discuss:</p>
<ul style=""box-sizing: inherit; border: 0 solid var(--black); margin: 20px 0px; list-style-position: inside; list-style-image: initial; color: #3c4b5f; font-family: Nunito, system-ui, system-ui, -apple-system, sans-serif; background-color: #ffffff;"">
<li style=""box-sizing: inherit; border: 0 solid var(--black); font-size: 1rem; line-height: 1.7; color: #666666;"">How much water was withdrawn</li>
<li style=""box-sizing: inherit; border: 0 solid var(--black); font-size: 1rem; line-height: 1.7; color: #666666;"">If the withdrawn water is from water-stressed areas</li>
<li style=""box-sizing: inherit; border: 0 solid var(--black); font-size: 1rem; line-height: 1.7; color: #666666;"">The actual consumption of the company (deducting how much was recycled)</li>
<li style=""box-sizing: inherit; border: 0 solid var(--black); font-size: 1rem; line-height: 1.7; color: #666666;"">How long-lasting and harmful the environmental impacts are from such water consumption</li>
</ul>",1,,2022-12-22T11:29:31+01:00,,https://app.impaakt.com/analyses/renault-withdrew-997-mn-m3-consumed-256-million-m3-of-water-in-2020-120519,25,1,www.impaakt.com/knowledge-centre/operational-water-consumption,6139.0,2.0,,5.0,False,23.0,,35,False
33,"<p><span style=""font-size: 12pt; font-family: Arial;"" data-sheets-value=""{&quot;1&quot;:2,&quot;2&quot;:&quot;The topic addresses fair wages and overtime pay. It also includes minimum wage policies and provision of benefits, which may influence how a workforce is attracted, retained, and motivated.\n\nThe topic does not treat labor conditions, which is covered in another topic, \&quot;Labor Practices\&quot;.\n\nFind out how to treat this topic in this how-to guide.&quot;}"" data-sheets-userformat=""{&quot;2&quot;:1063809,&quot;3&quot;:{&quot;1&quot;:0},&quot;10&quot;:1,&quot;11&quot;:4,&quot;12&quot;:0,&quot;14&quot;:[null,2,0],&quot;15&quot;:&quot;Arial&quot;,&quot;16&quot;:12,&quot;23&quot;:1}"">The topic addresses fair wages and overtime pay. It also includes minimum wage policies and the provision of benefits, which may influence how a workforce is attracted, retained, and motivated.<br /><br />The topic does not treat labor conditions, which is covered in another topic, ""Labor Practices"".<br /><br />Find out how to treat this topic in this <a href=""https://www.impaakt.com/how-to-guides/wages"" target=""_blank"" rel=""noopener"">how-to guide</a>.</span></p>",0,,,,,26,1,,,,,,False,,,35,False
34,"<p>Industrial processes used in the Agricultural Products industry present significant occupational hazards. Employees are engaged in many labor-intensive activities. Common hazards include falls, transportation accidents, equipment-related accidents, and heat-related illness or injury, among others. High injury rates, particularly fatality rates, may indicate a weak governance structure and a weak workplace safety culture.</p>
<p>To discuss:</p>
<ul>
<li>The absolute impact in terms of fatalities and injuries</li>
<li>Types of injuries and sicknesses and how these occurred</li>
<li>Nature of the employees' work and their contracts</li>
<li>Use of metrics (like TRIF and LTIR) to calculate absolute impact and as a comparison the industry average</li>
</ul>
<p>Not to include:</p>
<ul>
<li>Labor Practices</li>
</ul>",0,,2022-06-29T16:29:15+02:00,,https://app.impaakt.com/analyses/28302/in-2020-bae-systems-recorded-435-injuries-of-which-85-percent-37-were-critical-injuries,68,1,https://www.impaakt.com/knowledge-centre/workforce-health-safety,6139.0,2.0,,3.0,False,25.0,,35,False
36,"All modes of transportation pose safety risks. In some cases, mechanical failure or human error may lead to accidents with significant environmental or social consequences, including regulatory action and lawsuits from impacted communities or customers.",0,,,2022-12-13T09:50:42+01:00,https://app.impaakt.com/analyses/26764,28,1,,,,6139.0,,True,,,69,False
37,"All modes of transportation pose safety risks. In some cases, mechanical failure or human error may lead to accidents with significant environmental or social consequences, including regulatory action and lawsuits from impacted communities or customers. While the stringency of regulatory requirements may vary by the region of operation, companies that maintain the highest safety standards throughout their global operations can minimize the risks of safety incidents that affect their reputation and profitability.",0,,,,,29,1,,,,,,False,,,69,False
38,"<p>Companies in the Air Freight &amp; Logistics industry generate air pollutants that may threaten human health. The industry&rsquo;s primary air emissions include sulfur oxides (SOx), nitrogen oxides (NOx), and particulate matter (PM), which have localized negative effects on air quality.</p>
<p>To discuss:</p>
<ul>
<li>Which types of pollutions occurred if not all three (air, soil, water)</li>
<li>What pollutants are emitted and in what concentrations or volumes (scale)</li>
<li>How this contributes to adverse health impacts on the communities</li>
<li>How many deaths/health issues the company is responsible for</li>
<li>How long-lasting and grave the negative health effects are (depth and persistence)</li>
</ul>
<p>Not to discuss:</p>
<ul>
<li>GHG Emissions</li>
<li>Health impact from direct use of the products/services</li>
</ul>",1,,2023-01-04T17:29:51+01:00,,https://app.impaakt.com/analyses/sg-holdings-operations-resulted-in-the-emission-of-234-tonnes-of-toxic-air-pollutants-in-2020-60737,350,1,https://www.impaakt.com/knowledge-centre/adverse-health-impacts-on-communities,6139.0,1.0,,1.0,False,20.0,,69,False
